Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2011,Other,Not Specified,-,-,-,-,342,-,-,-,-
2011,Other,2 Bedrooms,-,-,-,-,58,-,-,-,-
2011,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2011,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2011,Townhouse,Total,598,650,715,s,96,-1.52%,-41.70%,37.50%,175.00%
2011,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2011,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
2011,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2011,Townhouse,2 Bedrooms,-,-,-,-,38,-,-,-,-
2011,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2011,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2011,Flat/Unit,Total,350,470,640,857,"6,637",-5.05%,-14.55%,-8.44%,34.54%
2011,Flat/Unit,Bedsitter,289,320,360,152,1084,-1.54%,-18.99%,-5.00%,58.33%
2011,Flat/Unit,1 Bedroom,370,450,551,472,"3,346",-2.17%,-13.88%,-4.26%,29.67%
2011,Flat/Unit,Not Specified,330,345,360,s,331,-4.83%,-17.86%,8.33%,0.00%
2011,Flat/Unit,2 Bedrooms,600,750,875,181,1615,4.17%,-5.96%,-19.91%,29.29%
2011,Flat/Unit,3 Bedrooms,895,1100,1700,37,247,0.23%,-7.56%,-11.90%,68.18%
2011,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2012,Total,Total,-,-,-,-,-,-,-,-,-
2012,Total,2 Bedrooms,-,-,-,-,-,-,-,-,-
2012,Flat/Unit,Total,-,-,-,-,-,-,-,-,-
2012,Flat/Unit,2 Bedrooms,-,-,-,-,-,-,-,-,-
2015,Total,Total,450,550,700,337,2500,-3.51%,-10.93%,-6.65%,35.89%
2015,Total,Bedsitter,-,-,-,-,33,-,-,-,-
2015,Total,1 Bedroom,400,450,500,129,868,-6.74%,-10.89%,-0.77%,48.28%
2015,Total,Not Specified,-,-,-,-,112,-,-,-,-
2015,Total,2 Bedrooms,530,600,690,131,"1,020",0.84%,-7.69%,-14.38%,20.18%
2015,Total,3 Bedrooms,750,890,1000,49,356,8.54%,-7.29%,-10.91%,63.33%
2015,Total,4 or more Bedrooms,1150,1300,1350,s,111,18.18%,6.12%,31.25%,75.00%
2015,House,Total,585,775,1100,55,333,3.33%,1.31%,0.00%,30.95%
2015,House,Bedsitter,-,-,-,-,-,-,-,-,-
2015,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2015,House,Not Specified,-,-,-,-,-,-,-,-,-
2015,House,2 Bedrooms,565,635,745,s,145,-8.30%,-9.29%,15.00%,21.05%
