Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2533,House,2 Bedrooms,-,-,-,-,58,-,-,-,-
2533,House,3 Bedrooms,533,578,600,s,251,1.32%,10.53%,-39.13%,-53.33%
2533,House,4 or more Bedrooms,600,670,745,s,155,8.06%,3.08%,7.69%,-48.15%
2533,Other,Total,-,-,-,-,62,-,-,-,-
2533,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2533,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2533,Other,Not Specified,-,-,-,-,s,-,-,-,-
2533,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2533,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2533,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2533,Townhouse,Total,493,578,600,s,198,8.96%,17.86%,37.50%,46.67%
2533,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2533,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2533,Townhouse,2 Bedrooms,-,-,-,-,61,-,-,-,-
2533,Townhouse,3 Bedrooms,555,600,625,s,119,4.80%,2.56%,87.50%,150.00%
2533,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2533,Flat/Unit,Total,403,445,531,s,335,5.95%,7.23%,-42.11%,-8.33%
2533,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2533,Flat/Unit,1 Bedroom,-,-,-,-,49,-,-,-,-
2533,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2533,Flat/Unit,2 Bedrooms,415,450,510,s,220,4.65%,4.65%,-31.82%,0.00%
2533,Flat/Unit,3 Bedrooms,-,-,-,-,58,-,-,-,-
2533,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2534,Total,Total,436,520,598,34,387,-7.14%,5.05%,9.68%,-12.82%
2534,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2534,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
2534,Total,Not Specified,-,-,-,-,-,-,-,-,-
2534,Total,2 Bedrooms,428,480,523,s,103,10.34%,11.63%,9.09%,-7.69%
2534,Total,3 Bedrooms,-,-,-,-,148,-,-,-,-
2534,Total,4 or more Bedrooms,-,-,-,-,98,-,-,-,-
2534,House,Total,580,600,680,s,212,0.00%,1.69%,0.00%,-27.78%
2534,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2534,House,Not Specified,-,-,-,-,-,-,-,-,-
2534,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2534,House,3 Bedrooms,-,-,-,-,84,-,-,-,-
2534,House,4 or more Bedrooms,-,-,-,-,93,-,-,-,-
2534,Other,Total,-,-,-,-,s,-,-,-,-
2534,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2534,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2534,Other,Not Specified,-,-,-,-,-,-,-,-,-
2534,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2534,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2534,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2534,Townhouse,Total,-,-,-,-,58,-,-,-,-
2534,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2534,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2534,Townhouse,3 Bedrooms,-,-,-,-,37,-,-,-,-
2534,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2534,Flat/Unit,Total,385,438,480,s,98,-21.87%,6.71%,80.00%,50.00%
2534,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
2534,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2534,Flat/Unit,2 Bedrooms,-,-,-,-,55,-,-,-,-
2534,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
2535,Total,Total,413,510,599,38,373,-1.92%,17.24%,0.00%,26.67%
2535,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2535,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
2535,Total,Not Specified,-,-,-,-,39,-,-,-,-
2535,Total,2 Bedrooms,380,395,420,s,100,0.64%,5.33%,116.67%,62.50%
2535,Total,3 Bedrooms,499,525,600,s,139,2.44%,14.13%,-11.11%,77.78%
2535,Total,4 or more Bedrooms,-,-,-,-,73,-,-,-,-
2535,House,Total,495,565,688,s,219,2.73%,17.71%,-26.67%,46.67%
2535,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2535,House,Not Specified,-,-,-,-,-,-,-,-,-
2535,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2535,House,3 Bedrooms,495,540,600,s,113,6.93%,17.39%,-29.41%,140.00%
2535,House,4 or more Bedrooms,-,-,-,-,70,-,-,-,-
2535,Other,Total,-,-,-,-,45,-,-,-,-
2535,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2535,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2535,Other,Not Specified,-,-,-,-,34,-,-,-,-
2535,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2535,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2535,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2535,Townhouse,Total,-,-,-,-,39,-,-,-,-
2535,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2535,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2535,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2535,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2535,Flat/Unit,Total,-,-,-,-,70,-,-,-,-
2535,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
2535,Flat/Unit,2 Bedrooms,-,-,-,-,46,-,-,-,-
2535,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2536,Total,Total,350,400,460,131,"1,777",3.90%,11.11%,-29.95%,-20.61%
2536,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2536,Total,1 Bedroom,-,-,-,-,87,-,-,-,-
2536,Total,Not Specified,-,-,-,-,108,-,-,-,-
2536,Total,2 Bedrooms,310,350,376,44,575,16.67%,16.67%,-30.16%,-16.98%
2536,Total,3 Bedrooms,400,430,460,57,729,7.50%,8.86%,-31.33%,-17.39%
2536,Total,4 or more Bedrooms,473,500,550,s,275,4.17%,14.29%,-24.14%,-21.43%
2536,House,Total,400,430,480,79,957,4.88%,7.50%,-28.18%,-7.06%
2536,House,Bedsitter,-,-,-,-,-,-,-,-,-
2536,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2536,House,Not Specified,-,-,-,-,s,-,-,-,-
2536,House,2 Bedrooms,-,-,-,-,154,-,-,-,-
2536,House,3 Bedrooms,413,430,464,46,512,4.88%,8.86%,-22.03%,2.22%
2536,House,4 or more Bedrooms,478,500,550,s,249,4.17%,14.94%,-20.00%,-20.00%
2536,Other,Total,-,-,-,-,135,-,-,-,-
2536,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2536,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2536,Other,Not Specified,-,-,-,-,48,-,-,-,-
2536,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2536,Other,3 Bedrooms,-,-,-,-,33,-,-,-,-
2536,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2536,Townhouse,Total,-,-,-,-,139,-,-,-,-
2536,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2536,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2536,Townhouse,2 Bedrooms,-,-,-,-,55,-,-,-,-
2536,Townhouse,3 Bedrooms,-,-,-,-,71,-,-,-,-
2536,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2536,Flat/Unit,Total,290,350,380,43,546,22.81%,20.69%,-25.86%,-28.33%
2536,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2536,Flat/Unit,1 Bedroom,-,-,-,-,63,-,-,-,-
2536,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
2536,Flat/Unit,2 Bedrooms,290,340,376,s,337,21.43%,19.30%,-22.22%,-20.00%
2536,Flat/Unit,3 Bedrooms,-,-,-,-,113,-,-,-,-
2536,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2537,Total,Total,325,380,450,49,764,-0.65%,3.40%,-20.97%,-25.76%
2537,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2537,Total,1 Bedroom,-,-,-,-,45,-,-,-,-
2537,Total,Not Specified,-,-,-,-,s,-,-,-,-
2537,Total,2 Bedrooms,310,350,395,s,222,0.00%,25.00%,-11.76%,-25.00%
2537,Total,3 Bedrooms,379,388,470,s,362,-3.12%,-0.64%,-7.69%,-33.33%
2537,Total,4 or more Bedrooms,-,-,-,-,107,-,-,-,-
2537,House,Total,380,400,470,s,482,0.00%,2.56%,-34.78%,-28.57%
2537,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2537,House,Not Specified,-,-,-,-,s,-,-,-,-
2537,House,2 Bedrooms,-,-,-,-,97,-,-,-,-
2537,House,3 Bedrooms,380,400,470,s,269,0.00%,2.56%,-5.56%,-37.04%
2537,House,4 or more Bedrooms,-,-,-,-,97,-,-,-,-
2537,Other,Total,-,-,-,-,62,-,-,-,-
2537,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2537,Other,Not Specified,-,-,-,-,-,-,-,-,-
2537,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2537,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2537,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2537,Townhouse,Total,-,-,-,-,67,-,-,-,-
2537,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2537,Townhouse,3 Bedrooms,-,-,-,-,46,-,-,-,-
2537,Flat/Unit,Total,245,300,380,s,153,0.00%,11.11%,71.43%,33.33%
2537,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2537,Flat/Unit,1 Bedroom,-,-,-,-,32,-,-,-,-
2537,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2537,Flat/Unit,2 Bedrooms,-,-,-,-,85,-,-,-,-
2537,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
2538,Total,Total,-,-,-,-,87,-,-,-,-
2538,Total,1 Bedroom,-,-,-,-,-,-,-,-,-
2538,Total,Not Specified,-,-,-,-,-,-,-,-,-
2538,Total,2 Bedrooms,-,-,-,-,s,-,-,-,-
2538,Total,3 Bedrooms,-,-,-,-,34,-,-,-,-
2538,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2538,House,Total,-,-,-,-,63,-,-,-,-
2538,House,Not Specified,-,-,-,-,-,-,-,-,-
2538,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2538,House,3 Bedrooms,-,-,-,-,s,-,-,-,-
2538,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2538,Other,Total,-,-,-,-,-,-,-,-,-
2538,Other,Not Specified,-,-,-,-,-,-,-,-,-
2538,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2538,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2538,Townhouse,Total,-,-,-,-,-,-,-,-,-
2538,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2538,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
2538,Flat/Unit,Total,-,-,-,-,s,-,-,-,-
2538,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-
2538,Flat/Unit,2 Bedrooms,-,-,-,-,-,-,-,-,-
2538,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2539,Total,Total,373,420,455,79,1270,10.53%,10.53%,-24.76%,-37.30%
2539,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2539,Total,1 Bedroom,-,-,-,-,60,-,-,-,-
2539,Total,Not Specified,-,-,-,-,93,-,-,-,-
2539,Total,2 Bedrooms,310,350,380,s,285,0.00%,12.90%,-37.04%,-29.17%
2539,Total,3 Bedrooms,390,420,450,38,584,9.09%,10.53%,-20.83%,-43.28%
2539,Total,4 or more Bedrooms,430,480,500,s,243,0.52%,4.35%,18.75%,-32.14%
2539,House,Total,400,430,479,58,885,1.18%,10.97%,0.00%,-44.23%
2539,House,Bedsitter,-,-,-,-,-,-,-,-,-
2539,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2539,House,Not Specified,-,-,-,-,s,-,-,-,-
2539,House,2 Bedrooms,-,-,-,-,150,-,-,-,-
2539,House,3 Bedrooms,391,430,450,s,465,10.26%,13.16%,-14.29%,-51.61%
2539,House,4 or more Bedrooms,430,480,500,s,230,0.52%,4.35%,18.75%,-20.83%
2539,Other,Total,-,-,-,-,117,-,-,-,-
2539,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2539,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2539,Other,Not Specified,-,-,-,-,64,-,-,-,-
2539,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2539,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2539,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2539,Townhouse,Total,310,365,413,s,111,0.00%,2.82%,0.00%,20.00%
2539,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2539,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2539,Townhouse,2 Bedrooms,-,-,-,-,33,-,-,-,-
2539,Townhouse,3 Bedrooms,-,-,-,-,69,-,-,-,-
2539,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2539,Flat/Unit,Total,-,-,-,-,157,-,-,-,-
2539,Flat/Unit,1 Bedroom,-,-,-,-,42,-,-,-,-
2539,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2539,Flat/Unit,2 Bedrooms,-,-,-,-,86,-,-,-,-
2539,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
2539,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2540,Total,Total,360,400,470,239,3360,2.56%,0.00%,-17.87%,-9.13%
2540,Total,Bedsitter,-,-,-,-,s,-,-,-,-
2540,Total,1 Bedroom,-,-,-,-,122,-,-,-,-
2540,Total,Not Specified,-,-,-,-,150,-,-,-,-
2540,Total,2 Bedrooms,318,340,386,56,716,3.03%,6.25%,-18.84%,-5.08%
2540,Total,3 Bedrooms,380,400,450,103,1511,3.90%,5.26%,-23.70%,3.00%
2540,Total,4 or more Bedrooms,440,500,560,69,849,4.17%,11.11%,-11.54%,-23.33%
2540,House,Total,380,420,490,190,2661,5.00%,5.00%,-21.81%,-14.80%
2540,House,Bedsitter,-,-,-,-,-,-,-,-,-
2540,House,1 Bedroom,-,-,-,-,38,-,-,-,-
2540,House,Not Specified,-,-,-,-,48,-,-,-,-
2540,House,2 Bedrooms,320,350,393,32,460,4.48%,9.38%,-36.00%,-15.79%
2540,House,3 Bedrooms,380,400,450,88,1287,3.90%,5.26%,-23.48%,-3.30%
2540,House,4 or more Bedrooms,450,500,560,67,821,4.17%,11.11%,-10.67%,-23.86%
2540,Other,Total,-,-,-,-,172,-,-,-,-
2540,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2540,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
2540,Other,Not Specified,-,-,-,-,87,-,-,-,-
2540,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2540,Other,3 Bedrooms,-,-,-,-,39,-,-,-,-
2540,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2540,Townhouse,Total,333,370,405,s,176,-7.50%,5.71%,36.36%,25.00%
2540,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2540,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2540,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2540,Townhouse,2 Bedrooms,-,-,-,-,57,-,-,-,-
2540,Townhouse,3 Bedrooms,-,-,-,-,95,-,-,-,-
2540,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2540,Flat/Unit,Total,288,320,368,s,351,1.59%,-7.25%,-10.00%,12.50%
2540,Flat/Unit,1 Bedroom,-,-,-,-,64,-,-,-,-
2540,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2540,Flat/Unit,2 Bedrooms,288,320,350,s,179,3.23%,-7.25%,0.00%,7.14%
2540,Flat/Unit,3 Bedrooms,-,-,-,-,90,-,-,-,-
2540,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2541,Total,Total,345,400,470,241,2819,5.26%,11.11%,-3.60%,-0.82%
2541,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2541,Total,1 Bedroom,201,220,245,s,170,-4.35%,1.15%,-25.00%,50.00%
2541,Total,Not Specified,-,-,-,-,285,-,-,-,-
2541,Total,2 Bedrooms,281,310,350,58,682,3.33%,3.33%,-3.33%,5.45%
2541,Total,3 Bedrooms,390,420,450,112,"1,182",7.69%,12.75%,-5.88%,9.80%
2541,Total,4 or more Bedrooms,468,490,528,55,496,5.95%,6.52%,10.00%,17.02%
2541,House,Total,390,425,480,163,"1,759",6.25%,11.84%,-4.12%,6.54%
2541,House,Bedsitter,-,-,-,-,-,-,-,-,-
2541,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2541,House,Not Specified,-,-,-,-,97,-,-,-,-
2541,House,2 Bedrooms,313,345,358,s,201,11.29%,16.95%,-21.74%,38.46%
2541,House,3 Bedrooms,390,415,450,91,953,6.41%,12.16%,-1.09%,28.17%
2541,House,4 or more Bedrooms,465,490,525,53,477,5.38%,6.52%,10.42%,12.77%
2541,Other,Total,-,-,-,-,184,-,-,-,-
2541,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
2541,Other,Not Specified,-,-,-,-,109,-,-,-,-
2541,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2541,Other,3 Bedrooms,-,-,-,-,32,-,-,-,-
2541,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2541,Townhouse,Total,368,420,430,s,221,7.01%,10.53%,-38.89%,-57.69%
2541,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2541,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2541,Townhouse,2 Bedrooms,-,-,-,-,86,-,-,-,-
2541,Townhouse,3 Bedrooms,-,-,-,-,121,-,-,-,-
2541,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2541,Flat/Unit,Total,250,298,350,60,655,-0.83%,-0.83%,9.09%,0.00%
2541,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2541,Flat/Unit,1 Bedroom,201,215,255,s,124,-4.44%,-23.21%,22.22%,120.00%
2541,Flat/Unit,Not Specified,-,-,-,-,74,-,-,-,-
2541,Flat/Unit,2 Bedrooms,251,298,320,38,378,0.00%,2.59%,18.75%,15.15%
2541,Flat/Unit,3 Bedrooms,383,410,440,s,76,14.69%,18.84%,-8.33%,-21.43%
2541,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2545,Total,Total,-,-,-,-,s,-,-,-,-
2545,Total,1 Bedroom,-,-,-,-,-,-,-,-,-
2545,Total,Not Specified,-,-,-,-,-,-,-,-,-
2545,Total,2 Bedrooms,-,-,-,-,-,-,-,-,-
2545,Total,3 Bedrooms,-,-,-,-,s,-,-,-,-
2545,Total,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2545,House,Total,-,-,-,-,s,-,-,-,-
2545,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2545,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2545,House,3 Bedrooms,-,-,-,-,s,-,-,-,-
2545,House,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2545,Flat/Unit,Total,-,-,-,-,-,-,-,-,-
2545,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-
2545,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2545,Flat/Unit,2 Bedrooms,-,-,-,-,-,-,-,-,-
2546,Total,Total,288,350,400,52,712,-1.41%,-1.41%,-16.13%,-7.14%
2546,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2546,Total,1 Bedroom,-,-,-,-,82,-,-,-,-
2546,Total,Not Specified,-,-,-,-,s,-,-,-,-
2546,Total,2 Bedrooms,270,320,350,s,257,0.00%,14.29%,-27.59%,61.54%
2546,Total,3 Bedrooms,353,390,436,s,274,-1.27%,-2.50%,-25.00%,-37.93%
2546,Total,4 or more Bedrooms,-,-,-,-,68,-,-,-,-
2546,House,Total,344,385,443,32,388,-3.75%,-2.53%,-13.51%,6.67%
2546,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2546,House,Not Specified,-,-,-,-,s,-,-,-,-
2546,House,2 Bedrooms,-,-,-,-,94,-,-,-,-
2546,House,3 Bedrooms,360,400,440,s,211,0.00%,0.00%,-10.53%,-15.00%
2546,House,4 or more Bedrooms,-,-,-,-,62,-,-,-,-
2546,Other,Total,-,-,-,-,31,-,-,-,-
2546,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2546,Other,Not Specified,-,-,-,-,-,-,-,-,-
2546,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2546,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2546,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2546,Townhouse,Total,-,-,-,-,65,-,-,-,-
2546,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2546,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2546,Townhouse,3 Bedrooms,-,-,-,-,31,-,-,-,-
2546,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2546,Flat/Unit,Total,229,260,333,s,228,-13.33%,-13.33%,-5.88%,-23.81%
2546,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2546,Flat/Unit,1 Bedroom,-,-,-,-,68,-,-,-,-
2546,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2546,Flat/Unit,2 Bedrooms,250,295,340,s,124,-0.84%,9.26%,-14.29%,50.00%
2546,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
2546,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2548,Total,Total,300,340,439,74,761,2.26%,-2.86%,-17.78%,-13.95%
2548,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2548,Total,1 Bedroom,233,260,285,s,61,14.29%,20.93%,150.00%,25.00%
2548,Total,Not Specified,-,-,-,-,s,-,-,-,-
2548,Total,2 Bedrooms,313,335,350,34,313,4.69%,13.56%,-27.66%,9.68%
2548,Total,3 Bedrooms,420,450,500,s,272,7.14%,7.14%,-19.05%,-41.38%
2548,Total,4 or more Bedrooms,-,-,-,-,95,-,-,-,-
2548,House,Total,448,475,580,s,270,0.53%,4.40%,-11.54%,-32.35%
2548,House,Bedsitter,-,-,-,-,-,-,-,-,-
2548,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2548,House,Not Specified,-,-,-,-,-,-,-,-,-
2548,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2548,House,3 Bedrooms,450,468,530,s,155,3.89%,8.72%,9.09%,-42.86%
2548,House,4 or more Bedrooms,-,-,-,-,80,-,-,-,-
2548,Other,Total,-,-,-,-,33,-,-,-,-
2548,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2548,Other,Not Specified,-,-,-,-,-,-,-,-,-
2548,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2548,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2548,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2548,Townhouse,Total,-,-,-,-,71,-,-,-,-
2548,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2548,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2548,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2548,Townhouse,3 Bedrooms,-,-,-,-,41,-,-,-,-
2548,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2548,Flat/Unit,Total,271,320,350,46,387,0.00%,10.34%,-13.21%,4.55%
2548,Flat/Unit,1 Bedroom,231,260,293,s,52,18.18%,18.18%,180.00%,27.27%
2548,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2548,Flat/Unit,2 Bedrooms,308,330,350,s,256,4.76%,12.82%,-30.00%,7.69%
2548,Flat/Unit,3 Bedrooms,-,-,-,-,64,-,-,-,-
2548,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2549,Total,Total,330,340,420,s,159,-8.11%,4.62%,0.00%,13.33%
2549,Total,1 Bedroom,-,-,-,-,-,-,-,-,-
2549,Total,Not Specified,-,-,-,-,s,-,-,-,-
2549,Total,2 Bedrooms,-,-,-,-,55,-,-,-,-
2549,Total,3 Bedrooms,-,-,-,-,57,-,-,-,-
2549,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2549,House,Total,-,-,-,-,81,-,-,-,-
2549,House,Not Specified,-,-,-,-,-,-,-,-,-
2549,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2549,House,3 Bedrooms,-,-,-,-,39,-,-,-,-
2549,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2549,Other,Total,-,-,-,-,s,-,-,-,-
2549,Other,Not Specified,-,-,-,-,-,-,-,-,-
2549,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2549,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2549,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2549,Townhouse,Total,-,-,-,-,s,-,-,-,-
2549,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2549,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
2549,Flat/Unit,Total,-,-,-,-,46,-,-,-,-
2549,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-
2549,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2549,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-
2549,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2549,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2550,Total,Total,305,360,438,66,925,2.86%,2.86%,-12.00%,-19.51%
2550,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2550,Total,1 Bedroom,-,-,-,-,60,-,-,-,-
2550,Total,Not Specified,-,-,-,-,40,-,-,-,-
2550,Total,2 Bedrooms,278,290,355,s,242,-9.37%,0.00%,-28.57%,15.38%
2550,Total,3 Bedrooms,350,360,396,s,429,-1.37%,2.86%,-12.50%,-26.32%
2550,Total,4 or more Bedrooms,450,450,490,s,153,2.27%,2.27%,-13.33%,-13.33%
2550,House,Total,350,380,450,49,646,5.56%,8.57%,-19.67%,-10.91%
2550,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2550,House,Not Specified,-,-,-,-,s,-,-,-,-
2550,House,2 Bedrooms,-,-,-,-,101,-,-,-,-
2550,House,3 Bedrooms,350,360,398,s,375,-4.00%,2.86%,-10.00%,-18.18%
2550,House,4 or more Bedrooms,450,450,490,s,142,0.00%,2.27%,0.00%,-13.33%
2550,Other,Total,-,-,-,-,63,-,-,-,-
2550,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
